crap: complexity measured from source for 1859/1970 clauses (94.4%); 111 not gated (templates / generated / macro-injected).
crap: 18/1445 functions have no coverage data and are NOT gated. Pass --on-no-coverage zero to treat them as uncovered, or check your --coverdata is complete.
FUNCTION                                                     CC  COV%   CRAP
Mut.Mutator.GuardBoolean.compatible?/2                       4   100.0  4.0 
Mut.Mutator.GuardBoolean.shape_matches?/1                    4   100.0  4.0 
Mut.Mutator.GuardComparisonBoundary.compatible?/2            4   100.0  4.0 
Mut.Mutator.GuardComparisonNegation.compatible?/2            4   100.0  4.0 
Mut.Mutator.GuardTypeTest.compatible?/2                      4   100.0  4.0 
Mut.Mutator.Membership.compatible?/2                         4   100.0  4.0 
Mut.Mutator.NegateConditional.conditional?/1                 4   100.0  4.0 
Mut.Mutator.UnaryNot.compatible?/2                           4   100.0  4.0 
Mut.Mutator.VariableToLiteral.applicable?/2                  4   100.0  4.0 
Mut.Orchestrator.fallback_context/3                          4   100.0  4.0 
Mut.Orchestrator.process_file/6                              4   100.0  4.0 
Mut.Sandbox.assert_materialized/1                            4   100.0  4.0 
Mut.Sandbox.create_sandboxes/3                               4   100.0  4.0 
Mut.StableId.compute/1                                       4   100.0  4.0 
Mut.TestSelection.Coverage.static_module_match?/2            4   100.0  4.0 
Mut.TestSelection.Static.covering_tests/3                    4   100.0  4.0 
Mut.TestSelection.Static.record_node/3                       4   100.0  4.0 
Mut.Orchestrator.apply_module_ignores/2                      2   22.2   3.9 
Mut.ChildProcess.trim_output/2                               2   25.0   3.7 
Mut.Orchestrator.env_walker_candidates/4                     3   60.0   3.6 
Mut.SchemaBuild.snapshot_apps/1                              3   60.0   3.6 
Mut.Cli.name_list/1                                          3   66.7   3.3 
Mut.Cli.validate_mutators/1                                  3   66.7   3.3 
Mut.EnvWalker.body_scope_for/1                               3   66.7   3.3 
Mut.Mutator.StatementDelete.build_mutations/2                3   66.7   3.3 
Mut.Oracle.decode_atom/1                                     3   66.7   3.3 
Mut.Reporter.GitHubActions.survivor?/1                       3   66.7   3.3 
Mut.Reporter.Html.survivor?/1                                3   66.7   3.3 
Mut.SchemaPlacer.schema_scrutinee?/1                         3   66.7   3.3 
Mut.TestSelection.Coverage.last_killer/2                     3   66.7   3.3 
Mut.TestSelection.Static.children/1                          3   66.7   3.3 
Mut.Trace.to_dispatch_site/2                                 3   66.7   3.3 
Mut.Worker.mix_path/1                                        3   66.7   3.3 
Mut.EnvWalker.walk_clauses/2                                 3   71.4   3.2 
Mut.Orchestrator.guard_fallback_results/5                    3   71.4   3.2 
Mut.SandboxQueue.handle_cast/2                               3   71.4   3.2 
Mut.Worker.do_run_schema/4                                   3   71.4   3.2 
Mut.ChildProcess.close_log/1                                 2   33.3   3.2 
Mut.ChildProcess.write_log/2                                 2   33.3   3.2 
Mut.EnvWalker.walk_clause_head/2                             2   33.3   3.2 
Mut.Orchestrator.clause_delete_results/5                     2   33.3   3.2 
Mut.Orchestrator.conditional_results/5                       2   33.3   3.2 
Mut.Orchestrator.map_update_drop_results/5                   2   33.3   3.2 
Mut.Orchestrator.pattern_shape_results/5                     2   33.3   3.2 
Mut.Orchestrator.pipeline_drop_results/5                     2   33.3   3.2 
Mut.Orchestrator.receive_timeout_results/5                   2   33.3   3.2 
Mut.Orchestrator.statement_delete_results/5                  2   33.3   3.2 
Mut.Orchestrator.variable_results/6                          2   33.3   3.2 
Mut.EnvWalker.parse_string/2                                 3   75.0   3.1 
Mut.Mutator.ReceiveTimeout.receive_with_after?/1             3   75.0   3.1 
Mut.Sandbox.path_root/1                                      3   75.0   3.1 
Mut.SourceSpan.Compute.end_position/1                        3   75.0   3.1 
Mut.Umbrella.app_dirs/1                                      3   75.0   3.1 
Mut.WorkCopy.install_overlay/2                               3   75.0   3.1 
Mut.AstWalk.pipe_pre/2                                       3   80.0   3.1 
Mut.Coverage.Parser.source_relative_to/2                     3   80.0   3.1 
Mut.Mutator.NegateConditional.cond_introduces_binding?/1     3   80.0   3.1 
Mut.TestSelection.Coverage.convention_match?/2               3   80.0   3.1 
Mut.Umbrella.app_from_ast/1                                  3   80.0   3.1 
Mut.Umbrella.apps_path_value/1                               3   80.0   3.1 
Mut.Worker.collect/3                                         3   80.0   3.1 
Mut.Oracle.load_jsonl/1                                      3   83.3   3.0 
Mut.Orchestrator.dispatch_mutants/3                          3   83.3   3.0 
Mut.SchemaPlacer.line_range/2                                3   83.3   3.0 
Mut.AstWalk.add_attribute_candidate/6                        3   85.7   3.0 
Mut.AstWalk.add_candidate/7                                  3   85.7   3.0 
Mut.Cli.resolve_mutators/1                                   3   85.7   3.0 
Mut.WorkCopy.symlink_project_entries/2                       3   85.7   3.0 
Mut.Oracle.parse_jsonl/1                                     3   87.5   3.0 
Mut.Sandbox.remove_stray_files/1                             3   87.5   3.0 
Mut.TestSelection.Coverage.for_plan/4                        3   87.5   3.0 
Mut.FallbackPatch.render/2                                   3   90.9   3.0 
Mut.AstWalk.collect_var_reads/1                              3   100.0  3.0 
Mut.AstWalk.collection_value?/1                              3   100.0  3.0 
Mut.AstWalk.emit_clause_candidates/5                         3   100.0  3.0 
Mut.AstWalk.emit_pipeline_candidates/2                       3   100.0  3.0 
Mut.AstWalk.emit_statement_delete_candidates/4               3   100.0  3.0 
Mut.AstWalk.function_head_tail?/1                            3   100.0  3.0 
Mut.AstWalk.literal_span/3                                   3   100.0  3.0 
Mut.AstWalk.literal_token/2                                  3   100.0  3.0 
